product_name,category,price,rating,review_count,product_url
It's Only the Himalayas,Books,Â£45.17,2/5 stars,N/A,https://books.toscrape.com/catalogue/its-only-the-himalayas_981/index.html
In Her Wake,Books,Â£12.84,1/5 stars,N/A,https://books.toscrape.com/catalogue/in-her-wake_980/index.html
How Music Works,Books,Â£37.32,2/5 stars,N/A,https://books.toscrape.com/catalogue/how-music-works_979/index.html
"Foolproof Preserving: A Guide to Small Batch Jams, Jellies, Pickles, Condiments, and More: A Foolproof Guide to Making Small Batch Jams, Jellies, Pickles, Condiments, and More",Books,Â£30.52,3/5 stars,N/A,https://books.toscrape.com/catalogue/foolproof-preserving-a-guide-to-small-batch-jams-jellies-pickles-condiments-and-more-a-foolproof-guide-to-making-small-batch-jams-jellies-pickles-condiments-and-more_978/index.html
Chase Me (Paris Nights #2),Books,Â£25.27,5/5 stars,N/A,https://books.toscrape.com/catalogue/chase-me-paris-nights-2_977/index.html
Black Dust,Books,Â£34.53,5/5 stars,N/A,https://books.toscrape.com/catalogue/black-dust_976/index.html
Birdsong: A Story in Pictures,Books,Â£54.64,3/5 stars,N/A,https://books.toscrape.com/catalogue/birdsong-a-story-in-pictures_975/index.html
America's Cradle of Quarterbacks: Western Pennsylvania's Football Factory from Johnny Unitas to Joe Montana,Books,Â£22.50,3/5 stars,N/A,https://books.toscrape.com/catalogue/americas-cradle-of-quarterbacks-western-pennsylvanias-football-factory-from-johnny-unitas-to-joe-montana_974/index.html
Aladdin and His Wonderful Lamp,Books,Â£53.13,3/5 stars,N/A,https://books.toscrape.com/catalogue/aladdin-and-his-wonderful-lamp_973/index.html
Worlds Elsewhere: Journeys Around Shakespeareâs Globe,Books,Â£40.30,5/5 stars,N/A,https://books.toscrape.com/catalogue/worlds-elsewhere-journeys-around-shakespeares-globe_972/index.html
Wall and Piece,Books,Â£44.18,4/5 stars,N/A,https://books.toscrape.com/catalogue/wall-and-piece_971/index.html
The Four Agreements: A Practical Guide to Personal Freedom,Books,Â£17.66,5/5 stars,N/A,https://books.toscrape.com/catalogue/the-four-agreements-a-practical-guide-to-personal-freedom_970/index.html
The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,Books,Â£31.05,3/5 stars,N/A,https://books.toscrape.com/catalogue/the-five-love-languages-how-to-express-heartfelt-commitment-to-your-mate_969/index.html
The Elephant Tree,Books,Â£23.82,5/5 stars,N/A,https://books.toscrape.com/catalogue/the-elephant-tree_968/index.html
The Bear and the Piano,Books,Â£36.89,1/5 stars,N/A,https://books.toscrape.com/catalogue/the-bear-and-the-piano_967/index.html
Sophie's World,Books,Â£15.94,5/5 stars,N/A,https://books.toscrape.com/catalogue/sophies-world_966/index.html
Penny Maybe,Books,Â£33.29,3/5 stars,N/A,https://books.toscrape.com/catalogue/penny-maybe_965/index.html
Maude (1883-1993):She Grew Up with the country,Books,Â£18.02,2/5 stars,N/A,https://books.toscrape.com/catalogue/maude-1883-1993she-grew-up-with-the-country_964/index.html
"In a Dark, Dark Wood",Books,Â£19.63,1/5 stars,N/A,https://books.toscrape.com/catalogue/in-a-dark-dark-wood_963/index.html
Behind Closed Doors,Books,Â£52.22,4/5 stars,N/A,https://books.toscrape.com/catalogue/behind-closed-doors_962/index.html
You can't bury them all: Poems,Books,Â£33.63,2/5 stars,N/A,https://books.toscrape.com/catalogue/you-cant-bury-them-all-poems_961/index.html
